SID,timestamp,lat,lon,wind,pressure
DEMO-0000,2012-06-12 06:00:00,9.988,82.777,44.0,973.5
DEMO-0000,2012-06-12 12:00:00,10.015,82.676,45.0,972.0
DEMO-0000,2012-06-12 18:00:00,10.132,82.638,41.8,976.8
DEMO-0000,2012-06-13 00:00:00,10.22,82.558,39.7,979.9
DEMO-0000,2012-06-13 06:00:00,10.251,82.465,38.1,982.4
DEMO-0000,2012-06-13 12:00:00,10.359,82.349,37.4,983.4
DEMO-0000,2012-06-13 18:00:00,10.47,82.312,35.5,986.3
DEMO-0000,2012-06-14 00:00:00,10.551,82.182,35.5,986.3
DEMO-0000,2012-06-14 06:00:00,10.649,82.101,32.7,990.5
DEMO-0000,2012-06-14 12:00:00,10.671,82.072,32.8,990.2
DEMO-0000,2012-06-14 18:00:00,10.721,81.929,32.9,990.1
DEMO-0001,2013-06-09 00:00:00,10.361,65.899,34.5,987.7
DEMO-0001,2013-06-09 06:00:00,10.434,65.828,36.9,984.2
DEMO-0001,2013-06-09 12:00:00,10.546,65.776,38.1,982.3
DEMO-0001,2013-06-09 18:00:00,10.638,65.678,39.3,980.5
DEMO-0001,2013-06-10 00:00:00,10.695,65.645,39.6,980.1
DEMO-0001,2013-06-10 06:00:00,10.74,65.503,38.2,982.2
DEMO-0001,2013-06-10 12:00:00,10.815,65.429,36.7,984.4
DEMO-0001,2013-06-10 18:00:00,10.906,65.287,35.5,986.3
DEMO-0001,2013-06-11 00:00:00,10.929,65.18,36.1,985.4
DEMO-0001,2013-06-11 06:00:00,10.977,65.093,36.7,984.4
DEMO-0001,2013-06-11 12:00:00,11.069,65.058,37.5,983.2
DEMO-0001,2013-06-11 18:00:00,11.114,64.969,37.6,983.0
DEMO-0001,2013-06-12 00:00:00,11.143,64.905,37.6,983.2
DEMO-0001,2013-06-12 06:00:00,11.204,64.867,36.3,985.1
DEMO-0001,2013-06-12 12:00:00,11.29,64.801,35.0,987.0
DEMO-0001,2013-06-12 18:00:00,11.382,64.755,34.0,988.6
DEMO-0001,2013-06-13 00:00:00,11.422,64.675,33.0,990.0
DEMO-0001,2013-06-13 06:00:00,11.46,64.585,35.0,987.0
DEMO-0001,2013-06-13 12:00:00,11.487,64.54,36.9,984.1
DEMO-0001,2013-06-13 18:00:00,11.517,64.475,37.6,983.1
DEMO-0001,2013-06-14 00:00:00,11.539,64.337,39.1,980.8
DEMO-0001,2013-06-14 06:00:00,11.582,64.24,39.5,980.2
DEMO-0001,2013-06-14 12:00:00,11.689,64.207,38.7,981.4
DEMO-0001,2013-06-14 18:00:00,11.709,64.108,40.9,978.1
DEMO-0001,2013-06-15 00:00:00,11.808,63.995,42.2,976.2
DEMO-0001,2013-06-15 06:00:00,11.901,63.947,43.3,974.5
DEMO-0001,2013-06-15 12:00:00,11.969,63.822,42.7,975.4
DEMO-0001,2013-06-15 18:00:00,11.995,63.767,40.1,979.3
DEMO-0001,2013-06-16 00:00:00,12.02,63.679,40.8,978.3
DEMO-0001,2013-06-16 06:00:00,12.046,63.595,41.6,977.1
DEMO-0001,2013-06-16 12:00:00,12.073,63.557,39.8,979.8
DEMO-0001,2013-06-16 18:00:00,12.15,63.483,37.4,983.4
DEMO-0001,2013-06-17 00:00:00,12.235,63.406,35.9,985.7
DEMO-0001,2013-06-17 06:00:00,12.322,63.297,34.3,988.0
DEMO-0001,2013-06-17 12:00:00,12.407,63.206,34.6,987.6
DEMO-0001,2013-06-17 18:00:00,12.428,63.137,34.2,988.1
DEMO-0001,2013-06-18 00:00:00,12.502,63.053,31.9,991.6
DEMO-0001,2013-06-18 06:00:00,12.528,62.935,30.1,994.3
DEMO-0001,2013-06-18 12:00:00,12.603,62.824,30.8,993.4
DEMO-0001,2013-06-18 18:00:00,12.676,62.761,29.5,995.2
DEMO-0002,2014-06-11 00:00:00,10.197,66.088,30.6,993.5
DEMO-0002,2014-06-11 06:00:00,10.237,66.021,30.2,994.2
DEMO-0002,2014-06-11 12:00:00,10.306,65.988,32.1,991.4
DEMO-0002,2014-06-11 18:00:00,10.335,65.893,31.7,992.0
DEMO-0002,2014-06-12 00:00:00,10.356,65.844,32.7,990.4
DEMO-0002,2014-06-12 06:00:00,10.402,65.79,33.4,989.3
DEMO-0002,2014-06-12 12:00:00,10.465,65.641,32.2,991.1
DEMO-0002,2014-06-12 18:00:00,10.573,65.609,32.9,990.1
DEMO-0002,2014-06-13 00:00:00,10.676,65.534,32.0,991.5
DEMO-0002,2014-06-13 06:00:00,10.709,65.425,34.1,988.3
DEMO-0002,2014-06-13 12:00:00,10.809,65.386,36.2,985.2
DEMO-0002,2014-06-13 18:00:00,10.85,65.269,35.1,986.8
DEMO-0002,2014-06-14 00:00:00,10.948,65.234,35.2,986.6
DEMO-0002,2014-06-14 06:00:00,11.03,65.104,37.5,983.3
DEMO-0002,2014-06-14 12:00:00,11.136,65.081,39.2,980.7
DEMO-0002,2014-06-14 18:00:00,11.244,64.934,40.7,978.5
DEMO-0002,2014-06-15 00:00:00,11.298,64.905,42.4,976.0
DEMO-0002,2014-06-15 06:00:00,11.404,64.86,41.9,976.6
DEMO-0002,2014-06-15 12:00:00,11.503,64.724,43.9,973.6
DEMO-0002,2014-06-15 18:00:00,11.609,64.603,45.7,971.0
DEMO-0002,2014-06-16 00:00:00,11.675,64.493,47.4,968.5
DEMO-0002,2014-06-16 06:00:00,11.718,64.346,46.6,969.5
DEMO-0002,2014-06-16 12:00:00,11.77,64.308,49.0,966.0
DEMO-0002,2014-06-16 18:00:00,11.818,64.242,49.1,965.8
DEMO-0002,2014-06-17 00:00:00,11.936,64.162,51.4,962.5
DEMO-0002,2014-06-17 06:00:00,11.968,64.138,50.6,963.6
DEMO-0002,2014-06-17 12:00:00,12.084,64.022,49.5,965.2
DEMO-0002,2014-06-17 18:00:00,12.148,63.967,47.7,968.0
DEMO-0002,2014-06-18 00:00:00,12.219,63.867,47.2,968.7
DEMO-0002,2014-06-18 06:00:00,12.31,63.717,47.9,967.7
DEMO-0002,2014-06-18 12:00:00,12.402,63.664,47.7,968.0
DEMO-0002,2014-06-18 18:00:00,12.429,63.6,46.2,970.2
DEMO-0002,2014-06-19 00:00:00,12.533,63.544,44.6,972.6
DEMO-0002,2014-06-19 06:00:00,12.594,63.446,43.1,974.8
DEMO-0002,2014-06-19 12:00:00,12.656,63.418,42.4,975.8
DEMO-0002,2014-06-19 18:00:00,12.738,63.307,42.1,976.3
DEMO-0002,2014-06-20 00:00:00,12.786,63.213,41.3,977.5
DEMO-0002,2014-06-20 06:00:00,12.853,63.121,39.2,980.7
DEMO-0002,2014-06-20 12:00:00,12.963,63.074,37.3,983.6
DEMO-0002,2014-06-20 18:00:00,13.035,63.006,35.3,986.5
DEMO-0003,2015-05-15 00:00:00,5.122,86.714,34.5,987.7
DEMO-0003,2015-05-15 06:00:00,5.184,86.646,33.8,988.8
DEMO-0003,2015-05-15 12:00:00,5.273,86.56,33.3,989.6
DEMO-0003,2015-05-15 18:00:00,5.359,86.411,34.8,987.4
DEMO-0003,2015-05-16 00:00:00,5.456,86.275,35.0,987.1
DEMO-0003,2015-05-16 06:00:00,5.493,86.249,35.5,986.2
DEMO-0003,2015-05-16 12:00:00,5.518,86.132,37.4,983.4
DEMO-0003,2015-05-16 18:00:00,5.584,86.086,38.6,981.6
DEMO-0003,2015-05-17 00:00:00,5.703,86.013,40.9,978.2
DEMO-0003,2015-05-17 06:00:00,5.812,85.943,42.3,976.1
DEMO-0003,2015-05-17 12:00:00,5.882,85.901,43.0,975.1
DEMO-0003,2015-05-17 18:00:00,5.992,85.847,43.4,974.5
DEMO-0003,2015-05-18 00:00:00,6.038,85.73,44.4,972.9
DEMO-0003,2015-05-18 06:00:00,6.135,85.647,45.4,971.4
DEMO-0003,2015-05-18 12:00:00,6.182,85.507,45.1,971.9
DEMO-0003,2015-05-18 18:00:00,6.229,85.399,45.7,970.9
DEMO-0003,2015-05-19 00:00:00,6.263,85.279,47.0,969.0
DEMO-0003,2015-05-19 06:00:00,6.354,85.137,47.1,968.8
DEMO-0003,2015-05-19 12:00:00,6.428,85.041,46.5,969.8
DEMO-0003,2015-05-19 18:00:00,6.49,85.009,47.3,968.6
DEMO-0003,2015-05-20 00:00:00,6.58,84.97,48.9,966.2
DEMO-0003,2015-05-20 06:00:00,6.638,84.821,48.8,966.4
DEMO-0003,2015-05-20 12:00:00,6.733,84.782,51.1,962.9
DEMO-0003,2015-05-20 18:00:00,6.795,84.729,51.8,961.9
DEMO-0003,2015-05-21 00:00:00,6.875,84.608,51.1,962.8
DEMO-0003,2015-05-21 06:00:00,6.939,84.462,51.0,963.0
DEMO-0003,2015-05-21 12:00:00,7.027,84.364,50.1,964.3
DEMO-0003,2015-05-21 18:00:00,7.093,84.231,50.1,964.3
DEMO-0003,2015-05-22 00:00:00,7.153,84.154,47.1,968.9
DEMO-0003,2015-05-22 06:00:00,7.186,84.064,44.4,972.9
DEMO-0003,2015-05-22 12:00:00,7.228,83.957,44.6,972.7
DEMO-0003,2015-05-22 18:00:00,7.323,83.915,43.0,975.0
DEMO-0003,2015-05-23 00:00:00,7.345,83.835,44.1,973.3
DEMO-0003,2015-05-23 06:00:00,7.43,83.787,43.5,974.3
DEMO-0003,2015-05-23 12:00:00,7.545,83.663,40.9,978.1
DEMO-0003,2015-05-23 18:00:00,7.577,83.6,40.5,978.8
DEMO-0003,2015-05-24 00:00:00,7.667,83.549,38.0,982.5
DEMO-0003,2015-05-24 06:00:00,7.762,83.414,37.8,982.7
DEMO-0003,2015-05-24 12:00:00,7.793,83.268,35.9,985.6
DEMO-0003,2015-05-24 18:00:00,7.909,83.169,36.2,985.2
DEMO-0004,2016-05-12 00:00:00,10.952,69.203,27.4,998.4
DEMO-0004,2016-05-12 06:00:00,11.025,69.139,26.2,1000.2
DEMO-0004,2016-05-12 12:00:00,11.11,68.991,26.4,999.9
DEMO-0004,2016-05-12 18:00:00,11.179,68.897,26.3,1000.0
DEMO-0004,2016-05-13 00:00:00,11.288,68.807,25.4,1001.3
DEMO-0004,2016-05-13 06:00:00,11.326,68.724,26.5,999.7
DEMO-0004,2016-05-13 12:00:00,11.407,68.694,28.1,997.3
DEMO-0004,2016-05-13 18:00:00,11.474,68.651,29.0,996.0
DEMO-0004,2016-05-14 00:00:00,11.526,68.533,31.2,992.6
DEMO-0004,2016-05-14 06:00:00,11.574,68.442,32.7,990.4
DEMO-0004,2016-05-14 12:00:00,11.651,68.379,32.6,990.6
DEMO-0004,2016-05-14 18:00:00,11.72,68.271,33.0,989.9
DEMO-0004,2016-05-15 00:00:00,11.776,68.155,32.7,990.5
DEMO-0004,2016-05-15 06:00:00,11.856,68.119,33.4,989.4
DEMO-0004,2016-05-15 12:00:00,11.927,67.994,32.9,990.2
DEMO-0004,2016-05-15 18:00:00,11.988,67.916,32.3,991.0
DEMO-0004,2016-05-16 00:00:00,12.056,67.859,32.6,990.6
DEMO-0004,2016-05-16 06:00:00,12.077,67.747,32.7,990.4
DEMO-0004,2016-05-16 12:00:00,12.122,67.683,32.7,990.5
DEMO-0004,2016-05-16 18:00:00,12.197,67.578,35.2,986.7
DEMO-0004,2016-05-17 00:00:00,12.272,67.474,35.5,986.2
DEMO-0004,2016-05-17 06:00:00,12.323,67.354,36.9,984.2
DEMO-0004,2016-05-17 12:00:00,12.374,67.3,39.2,980.7
DEMO-0004,2016-05-17 18:00:00,12.463,67.175,40.6,978.5
DEMO-0004,2016-05-18 00:00:00,12.511,67.102,42.2,976.2
DEMO-0004,2016-05-18 06:00:00,12.591,67.079,44.0,973.5
DEMO-0004,2016-05-18 12:00:00,12.64,66.976,43.7,973.9
DEMO-0004,2016-05-18 18:00:00,12.731,66.842,41.4,977.5
DEMO-0004,2016-05-19 00:00:00,12.78,66.815,40.7,978.5
DEMO-0004,2016-05-19 06:00:00,12.81,66.667,38.8,981.3
DEMO-0004,2016-05-19 12:00:00,12.864,66.642,36.5,984.8
DEMO-0004,2016-05-19 18:00:00,12.896,66.501,35.3,986.5
DEMO-0004,2016-05-20 00:00:00,12.985,66.371,35.1,986.8
DEMO-0004,2016-05-20 06:00:00,13.013,66.253,34.5,987.8
DEMO-0004,2016-05-20 12:00:00,13.093,66.183,34.7,987.5
DEMO-0004,2016-05-20 18:00:00,13.204,66.072,34.1,988.3
DEMO-0004,2016-05-21 00:00:00,13.28,65.93,35.3,986.5
DEMO-0004,2016-05-21 06:00:00,13.377,65.861,33.8,988.8
DEMO-0004,2016-05-21 12:00:00,13.421,65.783,31.5,992.2
DEMO-0004,2016-05-21 18:00:00,13.51,65.694,28.9,996.2
DEMO-0005,2017-06-14 00:00:00,6.852,70.539,36.8,984.3
DEMO-0005,2017-06-14 06:00:00,6.883,70.418,35.9,985.7
DEMO-0005,2017-06-14 12:00:00,6.93,70.286,34.6,987.6
DEMO-0005,2017-06-14 18:00:00,7.029,70.214,36.4,984.9
DEMO-0005,2017-06-15 00:00:00,7.141,70.121,36.8,984.3
DEMO-0005,2017-06-15 06:00:00,7.192,70.023,36.4,984.9
DEMO-0005,2017-06-15 12:00:00,7.266,69.93,37.3,983.6
DEMO-0005,2017-06-15 18:00:00,7.375,69.876,38.2,982.2
DEMO-0005,2017-06-16 00:00:00,7.397,69.755,39.4,980.4
DEMO-0005,2017-06-16 06:00:00,7.503,69.682,38.0,982.5
DEMO-0005,2017-06-16 12:00:00,7.6,69.638,38.8,981.3
DEMO-0005,2017-06-16 18:00:00,7.696,69.511,39.4,980.5
DEMO-0005,2017-06-17 00:00:00,7.76,69.397,41.8,976.7
DEMO-0005,2017-06-17 06:00:00,7.824,69.353,44.2,973.2
DEMO-0005,2017-06-17 12:00:00,7.891,69.256,44.0,973.5
DEMO-0005,2017-06-17 18:00:00,7.921,69.127,44.2,973.3
DEMO-0005,2017-06-18 00:00:00,7.991,69.063,44.3,973.1
DEMO-0005,2017-06-18 06:00:00,8.087,68.918,43.1,974.8
DEMO-0005,2017-06-18 12:00:00,8.132,68.783,44.7,972.5
DEMO-0005,2017-06-18 18:00:00,8.239,68.74,43.2,974.7
DEMO-0005,2017-06-19 00:00:00,8.346,68.651,41.9,976.6
DEMO-0005,2017-06-19 06:00:00,8.417,68.581,42.4,975.9
DEMO-0005,2017-06-19 12:00:00,8.482,68.438,42.0,976.5
DEMO-0005,2017-06-19 18:00:00,8.515,68.326,44.0,973.5
DEMO-0005,2017-06-20 00:00:00,8.583,68.179,45.0,972.0
DEMO-0005,2017-06-20 06:00:00,8.683,68.122,44.8,972.3
DEMO-0005,2017-06-20 12:00:00,8.705,68.025,44.2,973.2
DEMO-0005,2017-06-20 18:00:00,8.809,67.889,44.8,972.3
DEMO-0005,2017-06-21 00:00:00,8.844,67.861,42.8,975.3
DEMO-0005,2017-06-21 06:00:00,8.906,67.773,41.7,976.9
DEMO-0005,2017-06-21 12:00:00,8.94,67.648,40.9,978.2
DEMO-0005,2017-06-21 18:00:00,8.974,67.507,40.6,978.6
DEMO-0005,2017-06-22 00:00:00,9.028,67.46,39.2,980.8
DEMO-0005,2017-06-22 06:00:00,9.12,67.419,38.3,982.0
DEMO-0005,2017-06-22 12:00:00,9.227,67.327,37.4,983.4
DEMO-0005,2017-06-22 18:00:00,9.323,67.226,37.8,982.8
DEMO-0005,2017-06-23 00:00:00,9.441,67.107,36.0,985.6
DEMO-0005,2017-06-23 06:00:00,9.502,66.998,34.4,987.8
DEMO-0005,2017-06-23 12:00:00,9.56,66.977,34.5,987.8
DEMO-0005,2017-06-23 18:00:00,9.596,66.952,31.5,992.3
DEMO-0006,2018-06-03 00:00:00,9.552,85.107,27.9,997.7
DEMO-0006,2018-06-03 06:00:00,9.619,85.083,27.7,997.9
DEMO-0006,2018-06-03 12:00:00,9.708,85.018,29.6,995.0
DEMO-0006,2018-06-03 18:00:00,9.814,84.98,29.7,995.0
DEMO-0006,2018-06-04 00:00:00,9.865,84.923,31.2,992.7
DEMO-0006,2018-06-04 06:00:00,9.973,84.778,30.0,994.5
DEMO-0006,2018-06-04 12:00:00,10.056,84.747,32.5,990.8
DEMO-0006,2018-06-04 18:00:00,10.15,84.654,31.4,992.5
DEMO-0006,2018-06-05 00:00:00,10.234,84.617,31.6,992.0
DEMO-0006,2018-06-05 06:00:00,10.323,84.585,30.3,994.0
DEMO-0006,2018-06-05 12:00:00,10.423,84.473,30.3,994.0
DEMO-0006,2018-06-05 18:00:00,10.457,84.392,31.1,992.9
DEMO-0006,2018-06-06 00:00:00,10.557,84.264,29.9,994.7
DEMO-0006,2018-06-06 06:00:00,10.664,84.195,29.4,995.5
DEMO-0006,2018-06-06 12:00:00,10.775,84.063,29.7,994.9
DEMO-0006,2018-06-06 18:00:00,10.82,83.946,28.2,997.1
DEMO-0006,2018-06-07 00:00:00,10.921,83.914,29.5,995.3
DEMO-0006,2018-06-07 06:00:00,10.957,83.821,29.3,995.5
DEMO-0006,2018-06-07 12:00:00,11.035,83.754,29.5,995.2
DEMO-0006,2018-06-07 18:00:00,11.08,83.714,28.8,996.3
DEMO-0006,2018-06-08 00:00:00,11.139,83.627,28.3,997.1
DEMO-0006,2018-06-08 06:00:00,11.216,83.551,30.7,993.4
DEMO-0006,2018-06-08 12:00:00,11.266,83.529,31.9,991.7
DEMO-0006,2018-06-08 18:00:00,11.313,83.452,33.1,989.8
DEMO-0006,2018-06-09 00:00:00,11.407,83.309,34.1,988.4
DEMO-0006,2018-06-09 06:00:00,11.477,83.276,33.7,989.0
DEMO-0006,2018-06-09 12:00:00,11.577,83.205,33.6,989.1
DEMO-0006,2018-06-09 18:00:00,11.661,83.136,33.1,989.9
DEMO-0006,2018-06-10 00:00:00,11.747,83.095,32.2,991.2
DEMO-0006,2018-06-10 06:00:00,11.831,82.985,30.9,993.2
DEMO-0006,2018-06-10 12:00:00,11.924,82.847,28.8,996.3
DEMO-0006,2018-06-10 18:00:00,11.962,82.714,27.5,998.2
DEMO-0006,2018-06-11 00:00:00,12.035,82.683,28.1,997.4
DEMO-0006,2018-06-11 06:00:00,12.138,82.595,28.1,997.4
DEMO-0006,2018-06-11 12:00:00,12.191,82.46,29.3,995.6
DEMO-0006,2018-06-11 18:00:00,12.308,82.422,28.7,996.5
DEMO-0006,2018-06-12 00:00:00,12.425,82.377,26.9,999.2
DEMO-0006,2018-06-12 06:00:00,12.446,82.296,25.5,1001.3
DEMO-0006,2018-06-12 12:00:00,12.533,82.222,25.3,1001.5
DEMO-0006,2018-06-12 18:00:00,12.564,82.103,22.1,1006.4
DEMO-0007,2019-11-04 00:00:00,10.767,71.366,31.0,992.9
DEMO-0007,2019-11-04 06:00:00,10.801,71.339,30.8,993.4
DEMO-0007,2019-11-04 12:00:00,10.87,71.201,32.8,990.3
DEMO-0007,2019-11-04 18:00:00,10.904,71.11,34.0,988.5
DEMO-0007,2019-11-05 00:00:00,10.998,71.083,34.2,988.2
DEMO-0007,2019-11-05 06:00:00,11.092,70.953,34.3,988.0
DEMO-0007,2019-11-05 12:00:00,11.122,70.867,34.5,987.8
DEMO-0007,2019-11-05 18:00:00,11.237,70.721,34.4,987.8
DEMO-0007,2019-11-06 00:00:00,11.302,70.695,36.4,985.0
DEMO-0007,2019-11-06 06:00:00,11.332,70.634,37.0,983.9
DEMO-0007,2019-11-06 12:00:00,11.449,70.531,37.1,983.8
DEMO-0007,2019-11-06 18:00:00,11.488,70.396,39.0,981.0
DEMO-0007,2019-11-07 00:00:00,11.554,70.333,40.1,979.4
DEMO-0007,2019-11-07 06:00:00,11.634,70.185,41.7,976.9
DEMO-0007,2019-11-07 12:00:00,11.678,70.052,42.5,975.8
DEMO-0007,2019-11-07 18:00:00,11.705,70.001,41.8,976.8
DEMO-0007,2019-11-08 00:00:00,11.746,69.964,41.6,977.0
DEMO-0007,2019-11-08 06:00:00,11.781,69.931,40.2,979.3
DEMO-0007,2019-11-08 12:00:00,11.887,69.8,39.2,980.7
DEMO-0007,2019-11-08 18:00:00,11.932,69.673,40.3,979.0
DEMO-0007,2019-11-09 00:00:00,11.955,69.525,42.0,976.5
DEMO-0007,2019-11-09 06:00:00,11.998,69.417,41.2,977.7
DEMO-0007,2019-11-09 12:00:00,12.024,69.363,41.8,976.8
DEMO-0007,2019-11-09 18:00:00,12.118,69.275,43.4,974.4
DEMO-0007,2019-11-10 00:00:00,12.19,69.139,43.9,973.6
DEMO-0007,2019-11-10 06:00:00,12.304,68.995,45.5,971.2
DEMO-0007,2019-11-10 12:00:00,12.411,68.913,45.9,970.7
DEMO-0007,2019-11-10 18:00:00,12.527,68.771,44.9,972.2
DEMO-0007,2019-11-11 00:00:00,12.616,68.684,46.0,970.6
DEMO-0007,2019-11-11 06:00:00,12.644,68.614,43.4,974.3
DEMO-0007,2019-11-11 12:00:00,12.727,68.535,41.2,977.6
DEMO-0007,2019-11-11 18:00:00,12.8,68.444,41.1,977.9
DEMO-0007,2019-11-12 00:00:00,12.89,68.405,40.4,978.9
DEMO-0007,2019-11-12 06:00:00,12.983,68.283,39.5,980.3
DEMO-0007,2019-11-12 12:00:00,13.036,68.192,38.5,981.7
DEMO-0007,2019-11-12 18:00:00,13.099,68.128,37.4,983.4
DEMO-0007,2019-11-13 00:00:00,13.211,67.987,38.1,982.3
DEMO-0007,2019-11-13 06:00:00,13.241,67.933,38.3,982.0
DEMO-0007,2019-11-13 12:00:00,13.32,67.856,37.0,984.0
DEMO-0007,2019-11-13 18:00:00,13.375,67.792,36.6,984.5
DEMO-0008,2020-06-04 00:00:00,9.045,66.489,38.1,982.3
DEMO-0008,2020-06-04 06:00:00,9.1,66.411,37.1,983.9
DEMO-0008,2020-06-04 12:00:00,9.148,66.291,37.3,983.5
DEMO-0008,2020-06-04 18:00:00,9.224,66.241,38.3,982.1
DEMO-0008,2020-06-05 00:00:00,9.312,66.163,39.2,980.6
DEMO-0008,2020-06-05 06:00:00,9.398,66.103,37.8,982.7
DEMO-0008,2020-06-05 12:00:00,9.445,66.052,40.0,979.4
DEMO-0008,2020-06-05 18:00:00,9.5,65.926,39.1,980.8
DEMO-0008,2020-06-06 00:00:00,9.586,65.785,40.6,978.6
DEMO-0008,2020-06-06 06:00:00,9.703,65.647,41.2,977.7
DEMO-0008,2020-06-06 12:00:00,9.761,65.556,40.3,979.0
DEMO-0008,2020-06-06 18:00:00,9.812,65.448,42.6,975.6
DEMO-0008,2020-06-07 00:00:00,9.891,65.413,41.7,976.9
DEMO-0008,2020-06-07 06:00:00,9.987,65.269,40.5,978.7
DEMO-0008,2020-06-07 12:00:00,10.051,65.174,41.5,977.3
DEMO-0008,2020-06-07 18:00:00,10.113,65.052,42.0,976.5
DEMO-0008,2020-06-08 00:00:00,10.167,64.917,43.2,974.7
DEMO-0008,2020-06-08 06:00:00,10.246,64.835,43.0,975.1
DEMO-0008,2020-06-08 12:00:00,10.288,64.813,41.7,977.0
DEMO-0008,2020-06-08 18:00:00,10.329,64.786,43.3,974.6
DEMO-0008,2020-06-09 00:00:00,10.425,64.674,42.2,976.2
DEMO-0008,2020-06-09 06:00:00,10.495,64.58,41.2,977.6
DEMO-0008,2020-06-09 12:00:00,10.568,64.46,42.0,976.5
DEMO-0008,2020-06-09 18:00:00,10.655,64.356,42.1,976.4
DEMO-0008,2020-06-10 00:00:00,10.749,64.263,42.4,975.9
DEMO-0008,2020-06-10 06:00:00,10.777,64.153,42.6,975.6
DEMO-0008,2020-06-10 12:00:00,10.838,64.086,42.3,976.1
DEMO-0008,2020-06-10 18:00:00,10.898,64.062,39.5,980.2
DEMO-0008,2020-06-11 00:00:00,10.964,64.002,38.0,982.4
DEMO-0008,2020-06-11 06:00:00,10.995,63.908,37.1,983.9
DEMO-0008,2020-06-11 12:00:00,11.102,63.855,34.7,987.5
DEMO-0008,2020-06-11 18:00:00,11.129,63.788,34.1,988.4
DEMO-0008,2020-06-12 00:00:00,11.227,63.683,34.8,987.3
DEMO-0008,2020-06-12 06:00:00,11.262,63.547,33.1,989.8
DEMO-0008,2020-06-12 12:00:00,11.297,63.495,30.0,994.5
DEMO-0008,2020-06-12 18:00:00,11.38,63.406,29.2,995.8
DEMO-0008,2020-06-13 00:00:00,11.468,63.37,28.2,997.1
DEMO-0008,2020-06-13 06:00:00,11.52,63.346,26.6,999.6
DEMO-0008,2020-06-13 12:00:00,11.587,63.279,26.7,999.5
DEMO-0008,2020-06-13 18:00:00,11.642,63.138,26.0,1000.5
DEMO-0009,2021-05-15 00:00:00,5.451,89.159,32.7,990.5
DEMO-0009,2021-05-15 06:00:00,5.562,89.083,31.9,991.6
DEMO-0009,2021-05-15 12:00:00,5.643,88.998,34.3,988.1
DEMO-0009,2021-05-15 18:00:00,5.708,88.953,36.1,985.3
DEMO-0009,2021-05-16 00:00:00,5.826,88.814,37.2,983.7
DEMO-0009,2021-05-16 06:00:00,5.85,88.756,39.7,980.0
DEMO-0009,2021-05-16 12:00:00,5.923,88.686,39.6,980.1
DEMO-0009,2021-05-16 18:00:00,6.034,88.586,41.2,977.7
DEMO-0009,2021-05-17 00:00:00,6.122,88.443,42.2,976.1
DEMO-0009,2021-05-17 06:00:00,6.176,88.336,43.0,975.0
DEMO-0009,2021-05-17 12:00:00,6.234,88.218,44.9,972.2
DEMO-0009,2021-05-17 18:00:00,6.351,88.147,44.0,973.5
DEMO-0009,2021-05-18 00:00:00,6.379,88.083,46.2,970.3
DEMO-0009,2021-05-18 06:00:00,6.43,88.018,47.3,968.5
DEMO-0009,2021-05-18 12:00:00,6.463,87.961,46.1,970.3
DEMO-0009,2021-05-18 18:00:00,6.539,87.894,46.0,970.6
DEMO-0009,2021-05-19 00:00:00,6.571,87.836,48.2,967.1
